Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10
13,blazer,foal,0.025396759,3.74,1.06,0.68,0.31
157,reed,marsh,0.361045623,5.47,11.9,0.81,1.11
77,boot,trail,0.152089346,9.72,17.04,1.03,1.26
133,shirt,lace,0.29095445,45.36,11.06,1.67,1.08
141,frame,picture,0.32074323,26.82,106.42,1.44,2.03
93,factory,cardboard,0.184011269,39.22,10.78,1.6,1.07
69,tornado,pup,0.148379156,1.9,0.89,0.46,0.28
181,pram,baby,0.461322629,5.31,183.3,0.8,2.27
185,farm,sheep,0.474503282,66.15,40.11,1.83,1.61
33,wing,walnut,0.081975187,32.63,3.91,1.53,0.69
169,surgeon,scalpel,0.406425776,8.16,1.01,0.96,0.3
105,muscle,bandage ,0.217167728,31.62,4.25,1.51,0.72
61,pot,hat,0.130744196,24.75,53.07,1.41,1.73
9,data,latin,0.007278264,46.93,0,1.68,0
165,vet,animal,0.397178875,4.8,113.97,0.76,2.06
29,error,ship,0.079848073,20.45,45.25,1.33,1.67
5,seat,grapefruit,-0.01374512,77.99,1.51,1.9,0.4
25,hanger,policeman,0.059407185,0.78,21.56,0.25,1.35
197,melody,flute,0.539265683,3.52,2.51,0.66,0.55
129,teacher,protractor,0.283860459,79.33,0,1.9,0
81,photo,profile,0.158107908,9.16,10.5,1.01,1.06
145,canvas,wall,0.33146557,15.47,138.16,1.22,2.14
17,town,chief,0.04518215,185.92,101.4,2.27,2.01
149,belt,vest,0.33815705,21.17,4.86,1.35,0.77
45,albatross,uniform,0.105280692,0.78,27.88,0.25,1.46
21,taxi,blossom,0.053688961,29.61,3.69,1.49,0.67
125,lobster,butter,0.274753959,2.01,27.37,0.48,1.45
49,clown,cliff,0.110798867,3.24,16.42,0.63,1.24
121,funeral,candle,0.270873822,21.9,7.82,1.36,0.95
173,leopard,zoo,0.421799444,6.59,8.72,0.88,0.99
57,bell,lotus,0.123994373,39.33,1.9,1.61,0.46
101,worm,pear,0.21250903,7.37,2.46,0.92,0.54
53,plaster,library,0.119601479,11.9,52.63,1.11,1.73
109,confetti,helium,0.236455539,1.17,5.14,0.34,0.79
193,plane,hangar,0.505543962,45.53,2.18,1.67,0.5
89,dinner,dog,0.176540088,91.12,71.73,1.96,1.86
177,scales,weights,0.435456955,9.44,7.77,1.02,0.94
85,barn,rat,0.1661489,10.39,9.27,1.06,1.01
137,fire,forest,0.30594848,152.79,68.1,2.19,1.84
1,platform,toothpaste,-0.051348295,24.86,1.84,1.41,0.45
161,hotel,guest,0.37624594,125.2,24.36,2.1,1.4
41,mud,harvester,0.097343806,29.22,0.73,1.48,0.24
73,tape,book,0.150898776,28.38,275.47,1.47,2.44
153,hymn,organ,0.350724579,6.37,13.35,0.87,1.16
117,cheek,chops,0.261271115,24.75,3.13,1.41,0.62
205,paddle,kayak,0.647933148,1.68,0,0.43,0
113,bib,porridge,0.253649981,1.79,5.31,0.45,0.8
37,farmyard,sergeant,0.092836592,2.29,20.39,0.52,1.33
97,rocks,seaside,0.193141798,41.45,7.21,1.63,0.91
201,spacecraft,astronaut,0.550899548,1.68,0.95,0.43,0.29
189,bedroom,dresser,0.490751755,55.87,4.64,1.75,0.75
65,rain,mitten,0.142895749,71.56,0,1.86,0
