Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10
1,platform,toothpaste,-0.051348295,24.86,1.84,1.41,0.45
2,depth,plumber,-0.034101219,26.37,2.57,1.44,0.55
3,cottage,thigh,-0.029097307,31.01,12.68,1.51,1.14
4,television,root,-0.027869844,113.58,22.96,2.06,1.38
5,seat,grapefruit,-0.01374512,77.99,1.51,1.9,0.4
6,prune,poker,-0.00044977,1.79,5.59,0.45,0.82
7,dove,trainer,3.93E-05,2.96,3.41,0.6,0.64
8,cod,pen,0.005448082,9.72,19.44,1.03,1.31
9,data,latin,0.007278264,46.93,0,1.68,0
10,antelope,capsule,0.017242202,3.8,3.07,0.68,0.61
11,javelin,kettle,0.020626626,0.34,11.12,0.13,1.08
12,pipe,match,0.020933954,22.91,56.98,1.38,1.76
13,blazer,foal,0.025396759,3.74,1.06,0.68,0.31
14,cleaver,coffee,0.031048054,1.23,91.84,0.35,1.97
15,syrup,ankle,0.041178138,6.31,10.34,0.86,1.05
16,wheat,trophy,0.043240967,29.44,2.46,1.48,0.54
17,town,chief,0.04518215,185.92,101.4,2.27,2.01
18,hall,oats,0.045724347,120.67,5.36,2.09,0.8
19,seagull,keyboard,0.050153906,0.5,2.63,0.18,0.56
20,uncle,loan,0.050366831,59.27,18.99,1.78,1.3
21,taxi,blossom,0.053688961,29.61,3.69,1.49,0.67
22,kiwi,locker,0.056608185,0.61,5.03,0.21,0.78
23,wool,album,0.058879896,21.45,5.64,1.35,0.82
24,printer,trumpet,0.058887375,3.74,4.86,0.68,0.77
25,hanger,policeman,0.059407185,0.78,21.56,0.25,1.35
26,disc,sport,0.065324911,6.87,32.01,0.9,1.52
27,roach,fat,0.066156654,6.37,86.03,0.87,1.94
28,runner,cup,0.073121681,13.13,60.84,1.15,1.79
29,error,ship,0.079848073,20.45,45.25,1.33,1.67
30,kangaroo,aerial,0.080986859,1.96,3.91,0.47,0.69
31,canyon,elf,0.081218627,8.32,0.34,0.97,0.13
32,microbe,pillow,0.081472373,0.89,13.8,0.28,1.17
33,wing,walnut,0.081975187,32.63,3.91,1.53,0.69
34,peacock,typhoon,0.083367248,2.91,0.39,0.59,0.14
35,vault,ewe,0.086026957,3.24,1.23,0.63,0.35
36,handcuff,birch,0.092748057,2.12,3.8,0.49,0.68
37,farmyard,sergeant,0.092836592,2.29,20.39,0.52,1.33
38,chest,loot,0.093488198,43.46,4.02,1.65,0.7
39,zebra,jacket,0.097116014,1.28,34.47,0.36,1.55
40,mud,harvester,0.097343806,29.22,0.73,1.48,0.24
41,nature,child,0.100190358,187.32,427.09,2.27,2.63
42,stork,roof,0.101406354,0.73,46.42,0.24,1.68
43,basketball,dessert,0.102388675,2.4,4.47,0.53,0.74
44,albatross,uniform,0.105280692,0.78,27.88,0.25,1.46
45,university,pig,0.107759883,196.98,17.88,2.3,1.28
46,bracelet,flea,0.109759561,3.63,1.68,0.67,0.43
47,dart,clover,0.1102983,4.3,5.75,0.72,0.83
48,clown,cliff,0.110798867,3.24,16.42,0.63,1.24
49,circus,beard,0.115963672,14.36,22.18,1.19,1.37
50,firework,lighter,0.117697972,1.62,15.03,0.42,1.2
51,plaster,library,0.119601479,11.9,52.63,1.11,1.73
52,arrow,pineapple,0.120589934,8.1,2.46,0.96,0.54
53,shed,spade,0.121530621,23.18,2.85,1.38,0.59
54,bell,lotus,0.123994373,39.33,1.9,1.61,0.46
55,rhinoceros,rug,0.129818067,1.56,11.68,0.41,1.1
56,vinegar,bone,0.129882703,8.66,27.26,0.98,1.45
57,radio,vinyl,0.130599304,83.97,1.01,1.93,0.3
58,pot,hat,0.130744196,24.75,53.07,1.41,1.73
59,mop,skin,0.135836061,4.08,90.34,0.71,1.96
60,skill,science,0.142442428,38.32,91.17,1.59,1.96
61,deer,thumb,0.143758962,11.68,22.85,1.1,1.38
62,thunder,coast,0.14532107,10.95,48.1,1.08,1.69
63,washer,lily,0.148117122,1.68,6.7,0.43,0.89
64,tornado,pup,0.148379156,1.9,0.89,0.46,0.28
65,shop,basket,0.148570055,85.08,17.88,1.93,1.28
66,army,crag,0.149129788,107.99,2.29,2.04,0.52
67,tape,book,0.150898776,28.38,275.47,1.47,2.44
68,gate,bull,0.15122355,50,25.75,1.71,1.43
69,newt,lightning,0.151529322,0.61,14.13,0.21,1.18
70,curtain,kitchen,0.151804708,19.33,105.59,1.31,2.03
71,boot,trail,0.152089346,9.72,17.04,1.03,1.26
72,brain,ocean,0.15363104,69.22,24.36,1.85,1.4
73,juice,sand,0.155511373,20.39,54.25,1.33,1.74
74,flag,lettuce,0.157581958,19.89,6.42,1.32,0.87
75,photo,profile,0.158107908,9.16,10.5,1.01,1.06
76,turban,cedar,0.158487209,2.4,2.12,0.53,0.49
77,forge,blacksmith,0.158932514,5.53,1.68,0.81,0.43
78,battery,console,0.161949378,9.11,4.19,1,0.72
79,barn,rat,0.1661489,10.39,9.27,1.06,1.01
80,poetry,heaven,0.169827159,21.34,37.15,1.35,1.58
81,tank,oxygen,0.170241257,20.34,22.79,1.33,1.38
82,dough,barbeque,0.173217468,10.28,0,1.05,0
83,dinner,dog,0.176540088,91.12,71.73,1.96,1.86
84,ferry,engine,0.179885585,7.6,44.02,0.93,1.65
85,wolf,sledge,0.18394625,6.7,1.06,0.89,0.31
86,factory,cardboard,0.184011269,39.22,10.78,1.6,1.07
87,judge,gavel,0.184075897,55.2,0.67,1.75,0.22
88,bird,gun,0.187489929,42.01,63.58,1.63,1.81
89,childhood,marbles,0.192261397,42.18,3.13,1.64,0.62
90,rock,seaside,0.193141798,41.45,7.21,1.63,0.91
91,flat,staircase,0.204364528,110.06,12.4,2.05,1.13
92,tea,mug,0.211426268,88.77,6.26,1.95,0.86
93,worm,pear,0.21250903,7.37,2.46,0.92,0.54
94,bread,braid,0.213671363,74.13,1.96,1.88,0.47
95,barber,shears,0.214867187,6.87,2.4,0.9,0.53
96,tongue,cake,0.215452951,33.63,21.4,1.54,1.35
97,muscle,bandage ,0.217167728,31.62,4.25,1.51,0.72
98,cloth,dish,0.219489361,45.25,21.79,1.67,1.36
99,salt,jellyfish,0.227924671,45.03,1.79,1.66,0.45
100,key,passport,0.235210015,16.48,26.93,1.24,1.45
101,confetti,helium,0.236455539,1.17,5.14,0.34,0.79
102,duster,tiles,0.240756458,1.84,6.48,0.45,0.87
103,robot,wires,0.249669152,3.74,9.72,0.68,1.03
104,bib,porridge,0.253649981,1.79,5.31,0.45,0.8
105,veil,bride,0.256519761,7.49,10.45,0.93,1.06
106,lake,oar,0.256857975,40.11,0.39,1.61,0.14
107,dirt,gravestone,0.261006171,19.89,0.73,1.32,0.24
108,cheek,chops,0.261271115,24.75,3.13,1.41,0.62
109,card,dice,0.265220736,46.09,2.18,1.67,0.5
110,sink,filter,0.26595011,26.2,3.8,1.43,0.68
111,calculator,notebook,0.270820437,2.01,7.65,0.48,0.94
112,funeral,candle,0.270873822,21.9,7.82,1.36,0.95
113,suitcase,bikini,0.273248309,12.29,1.96,1.12,0.47
114,receipt,bag,0.274555783,6.82,62.63,0.89,1.8
115,coal,chimney,0.274739001,42.51,6.87,1.64,0.9
116,lobster,butter,0.274753959,2.01,27.37,0.48,1.45
117,mirror,lipstick,0.279622748,41.06,6.82,1.62,0.89
118,goggles,towel,0.281727525,2.74,15.53,0.57,1.22
119,painting,chalk,0.28346327,54.86,9.72,1.75,1.03
120,trolley,lollipop,0.284874649,5.25,0.34,0.8,0.13
121,lager,lime,0.288207104,1.68,8.49,0.43,0.98
122,speech,brief,0.290192427,75.75,46.15,1.89,1.67
123,shirt,lace,0.29095445,45.36,11.06,1.67,1.08
124,pike,river,0.292545437,6.82,108.27,0.89,2.04
125,rocket ,space,0.296873417,8.1,126.2,0.96,2.1
126,method,recipe,0.303757591,76.7,9.55,1.89,1.02
127,fire,forest,0.30594848,152.79,68.1,2.19,1.84
128,classroom,easel,0.309110914,15.2,1.9,1.21,0.46
129,toilet,sponge,0.310035089,23.18,8.1,1.38,0.96
130,thermostat,mercury,0.313819368,1.4,12.51,0.38,1.13
131,squirrel,woodland,0.316360619,3.52,12.63,0.66,1.13
132,frame,picture,0.32074323,26.82,106.42,1.44,2.03
133,lorry,highway,0.324990738,7.99,15.92,0.95,1.23
134,web,spider,0.325861187,5.81,4.08,0.83,0.71
135,debt,sovereign,0.32751825,25.31,5.03,1.42,0.78
136,canvas,wall,0.33146557,15.47,138.16,1.22,2.14
137,speech ,text,0.332597721,75.75,28.32,1.89,1.47
138,python,tree,0.334664181,1.12,72.23,0.33,1.86
139,pie,crust,0.335761656,12.57,6.93,1.13,0.9
140,belt,vest,0.33815705,21.17,4.86,1.35,0.77
141,cocktail,bar,0.33970425,8.21,67.88,0.96,1.84
142,hymn,organ,0.350724579,6.37,13.35,0.87,1.16
143,jug,water,0.351800067,8.49,432.91,0.98,2.64
144,flask,gin,0.353844384,4.25,15.25,0.72,1.21
145,compost,daffodils,0.354882228,3.24,1.73,0.63,0.44
146,reed,marsh,0.361045623,5.47,11.9,0.81,1.11
147,wood,antler,0.362045895,72.4,0.39,1.87,0.14
148,dishwasher,colander,0.370570304,1.84,0.34,0.45,0.13
149,hotel,guest,0.37624594,125.2,24.36,2.1,1.4
150,submarine ,diver,0.384344888,9.83,0.89,1.03,0.28
151,bonus,extra,0.384485322,8.99,81.4,1,1.92
152,ache,bruise,0.384757417,4.75,2.29,0.76,0.52
153,vet,animal,0.397178875,4.8,113.97,0.76,2.06
154,fiction,author,0.40109891,15.75,29.16,1.22,1.48
155,monk,abbey,0.402448213,3.91,9.83,0.69,1.03
156,banker,finance,0.402583278,6.98,30.73,0.9,1.5
157,surgeon,scalpel,0.406425776,8.16,1.01,0.96,0.3
158,thread,stitch,0.41282094,11.06,1.51,1.08,0.4
159,whale,plankton,0.413829594,6.31,1.06,0.86,0.31
160,leopard,zoo,0.421799444,6.59,8.72,0.88,0.99
161,landlord,house,0.421984161,12.91,558.72,1.14,2.75
162,court,lawyer,0.42873253,126.98,25.92,2.11,1.43
163,cow,milk,0.43413468,22.51,104.3,1.37,2.02
164,scales,weights,0.435456955,9.44,7.77,1.02,0.94
165,ashtray,cigarette,0.435645106,5.31,49.27,0.8,1.7
166,theatre,film,0.455351868,0,88.16,0,1.95
167,antique,museum,0.457690981,12.68,30.61,1.14,1.5
168,pram,baby,0.461322629,5.31,183.3,0.8,2.27
169,tractor,hay,0.46360748,6.87,14.86,0.9,1.2
170,tulip,vase,0.471478518,0.78,3.97,0.25,0.7
171,business,customer,0.473906957,236.54,14.3,2.38,1.18
172,farm,sheep,0.474503282,66.15,40.11,1.83,1.61
173,church,vicar,0.480825407,158.88,22.63,2.2,1.37
174,cactus,desert,0.483561788,2.12,38.77,0.49,1.6
175,seaweed,crab,0.487856247,4.86,5.42,0.77,0.81
176,bedroom,dresser,0.490751755,55.87,4.64,1.75,0.75
177,menu,meal,0.492739868,7.26,53.07,0.92,1.73
178,dummy,infant,0.497330387,0,20.78,0,1.34
179,medicine,doctor,0.497584052,32.35,132.74,1.52,2.13
180,plane,hangar,0.505543962,45.53,2.18,1.67,0.5
181,garage,car,0.514912901,22.79,276.2,1.38,2.44
182,pulpit,preacher,0.533269436,4.19,3.24,0.72,0.63
183,apple,orchard,0.537910033,17.6,5.31,1.27,0.8
184,melody,flute,0.539265683,3.52,2.51,0.66,0.55
185,waitress,restaurant,0.541748242,7.71,32.07,0.94,1.52
186,patient,hospital,0.543404109,45.87,105.25,1.67,2.03
187,soup,cabbage,0.549878215,20.22,8.04,1.33,0.96
188,spacecraft,astronaut,0.550899548,1.68,0.95,0.43,0.29
189,garden,flower,0.594903923,111.4,27.71,2.05,1.46
190,monarch,throne,0.619168711,5.53,9.78,0.81,1.03
191,paramedic,ambulance,0.66213347,0,7.65,0,0.94
192,rabbi,synagogue,0.724205782,5.25,3.41,0.8,0.64
