Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10
78,battery,console,0.161949378,9.11,4.19,1,0.72
62,thunder,coast,0.14532107,10.95,48.1,1.08,1.69
110,sink,filter,0.26595011,26.2,3.8,1.43,0.68
30,kangaroo,aerial,0.080986859,1.96,3.91,0.47,0.69
170,tulip,vase,0.471478518,0.78,3.97,0.25,0.7
126,method,recipe,0.303757591,76.7,9.55,1.89,1.02
114,receipt,bag,0.274555783,6.82,62.63,0.89,1.8
162,court,lawyer,0.42873253,126.98,25.92,2.11,1.43
138,python,tree,0.334664181,1.12,72.23,0.33,1.86
38,chest,loot,0.093488198,43.46,4.02,1.65,0.7
10,antelope,capsule,0.017242202,3.8,3.07,0.68,0.61
146,reed,marsh,0.361045623,5.47,11.9,0.81,1.11
34,peacock,typhoon,0.083367248,2.91,0.39,0.59,0.14
154,fiction,author,0.40109891,15.75,29.16,1.22,1.48
166,theatre,film,0.455351868,0,88.16,0,1.95
18,hall,oats,0.045724347,120.67,5.36,2.09,0.8
98,cloth,dish,0.219489361,45.25,21.79,1.67,1.36
130,thermostat,mercury,0.313819368,1.4,12.51,0.38,1.13
50,firework,lighter,0.117697972,1.62,15.03,0.42,1.2
70,curtain,kitchen,0.151804708,19.33,105.59,1.31,2.03
86,factory,cardboard,0.184011269,39.22,10.78,1.6,1.07
186,patient,hospital,0.543404109,45.87,105.25,1.67,2.03
90,rock,seaside,0.193141798,41.45,7.21,1.63,0.91
82,dough,barbeque,0.173217468,10.28,0,1.05,0
106,lake,oar,0.256857975,40.11,0.39,1.61,0.14
122,speech,brief,0.290192427,75.75,46.15,1.89,1.67
182,pulpit,preacher,0.533269436,4.19,3.24,0.72,0.63
174,cactus,desert,0.483561788,2.12,38.77,0.49,1.6
66,army,crag,0.149129788,107.99,2.29,2.04,0.52
134,web,spider,0.325861187,5.81,4.08,0.83,0.71
2,depth,plumber,-0.034101219,26.37,2.57,1.44,0.55
190,monarch,throne,0.619168711,5.53,9.78,0.81,1.03
42,stork,roof,0.101406354,0.73,46.42,0.24,1.68
22,kiwi,locker,0.056608185,0.61,5.03,0.21,0.78
58,pot,hat,0.130744196,24.75,53.07,1.41,1.73
14,cleaver,coffee,0.031048054,1.23,91.84,0.35,1.97
178,dummy,infant,0.497330387,0,20.78,0,1.34
26,disc,sport,0.065324911,6.87,32.01,0.9,1.52
118,goggles,towel,0.281727525,2.74,15.53,0.57,1.22
142,hymn,organ,0.350724579,6.37,13.35,0.87,1.16
158,thread,stitch,0.41282094,11.06,1.51,1.08,0.4
94,bread,braid,0.213671363,74.13,1.96,1.88,0.47
54,bell,lotus,0.123994373,39.33,1.9,1.61,0.46
102,duster,tiles,0.240756458,1.84,6.48,0.45,0.87
46,bracelet,flea,0.109759561,3.63,1.68,0.67,0.43
74,flag,lettuce,0.157581958,19.89,6.42,1.32,0.87
150,submarine ,diver,0.384344888,9.83,0.89,1.03,0.28
6,prune,poker,-0.00044977,1.79,5.59,0.45,0.82
